name,segment,sub_segment,regulator,register,registry_id,as_of,url,in_enrichment_pool
GoTyme Bank Corporation,digital_bank,,BSP,BSP Directory of Banks and Non-Bank Financial Institutions: digital banks,465,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500",yes
"Maribank Philippines, Inc.",digital_bank,,BSP,BSP Directory of Banks and Non-Bank Financial Institutions: digital banks,211,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500",yes
"Maya Bank, Inc.",digital_bank,,BSP,BSP Directory of Banks and Non-Bank Financial Institutions: digital banks,462,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500",yes
"Overseas Filipino Bank, Inc., A Digital Bank of LANDBANK",digital_bank,,BSP,BSP Directory of Banks and Non-Bank Financial Institutions: digital banks,460,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500",yes
"Tonik Digital Bank, Inc.",digital_bank,,BSP,BSP Directory of Banks and Non-Bank Financial Institutions: digital banks,461,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500",yes
"UnionDigital Bank, Inc.",digital_bank,,BSP,BSP Directory of Banks and Non-Bank Financial Institutions: digital banks,464,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500",yes
"UNObank, Inc.",digital_bank,,BSP,BSP Directory of Banks and Non-Bank Financial Institutions: digital banks,463,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500",yes
"1st Valley Bank, Inc. A Development Bank",thrift_bank,,BSP,BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,82,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",yes
"AllBank (A Thrift Bank), Inc.",thrift_bank,,BSP,BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,67,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",yes
"Bangko Kabayan, Inc. (A Private Development Bank)",thrift_bank,,BSP,BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,83,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",yes
